epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5008,2.77562,4.02829,1.73949,0.00065,0.1,0.00049,0.00039,2.12975,4.00681,1.63215,1.667e-05,1.667e-05,1.667e-05
2,33.7539,2.59153,3.91365,1.67273,0.00065,0.1,0.00048,0.00034,2.05394,3.99219,1.58811,4.95149e-05,4.95149e-05,4.95149e-05
3,49.822,2.26946,3.84851,1.51907,0.00066,0.1,0.00049,0.00034,2.14234,3.96852,1.5605,8.16997e-05,8.16997e-05,8.16997e-05
4,64.8233,1.98139,3.65589,1.36456,0.00941,0.25263,0.00623,0.00238,2.2763,3.8763,1.51945,0.000113224,0.000113224,0.000113224
5,80.3311,1.94542,3.41512,1.30866,0.01741,0.325,0.05592,0.02541,2.20452,3.70946,1.44296,0.000144089,0.000144089,0.000144089
6,95.6762,1.83639,3.07782,1.24489,0.02677,0.50395,0.24134,0.09513,1.86815,3.47121,1.2178,0.000174293,0.000174293,0.000174293
7,110.389,1.87342,2.6274,1.22206,0.02814,0.60395,0.20894,0.06337,1.9167,3.39408,1.28425,0.000203837,0.000203837,0.000203837
8,125.46,1.88724,2.35899,1.21064,0.03019,0.63026,0.25186,0.08888,2.10156,3.22702,1.34386,0.000232722,0.000232722,0.000232722
9,140.775,1.79192,1.92863,1.16756,0.04139,0.73553,0.24207,0.08796,2.02882,3.02286,1.32901,0.000260946,0.000260946,0.000260946
10,154.686,1.71698,1.77333,1.13943,0.04868,0.90132,0.21865,0.09196,1.81948,2.85468,1.24174,0.000288509,0.000288509,0.000288509
11,187.556,1.78647,1.78829,1.16118,0.04936,0.82763,0.26946,0.11671,1.77826,2.71691,1.22805,0.000315413,0.000315413,0.000315413
12,220.516,1.66064,1.66508,1.14043,0.04925,0.83421,0.32751,0.13531,1.76051,2.64616,1.21864,0.000341657,0.000341657,0.000341657
13,252.831,1.65147,1.58253,1.1122,0.04822,0.92105,0.51403,0.22769,1.728,2.58282,1.2088,0.00036724,0.00036724,0.00036724
14,284.57,1.67489,1.58839,1.13099,0.05118,0.94737,0.50639,0.22986,1.73092,2.58047,1.21273,0.000392163,0.000392163,0.000392163
15,317.1,1.68957,1.59209,1.15849,0.05032,0.93421,0.67826,0.30173,1.68501,2.56667,1.16759,0.000416427,0.000416427,0.000416427
16,350.352,1.76616,1.48854,1.16934,0.04787,0.92105,0.65771,0.2498,1.73093,2.59631,1.15755,0.00044003,0.00044003,0.00044003
17,381.756,1.55212,1.50673,1.11834,0.04639,0.90789,0.62339,0.25285,1.76589,2.64862,1.17469,0.000462973,0.000462973,0.000462973
18,413.378,1.45656,1.42805,1.10685,0.04348,0.78816,0.56649,0.26496,1.68034,2.68236,1.16586,0.000485255,0.000485255,0.000485255
19,445.886,1.56454,1.4849,1.13659,0.04336,0.78158,0.57491,0.27756,1.68114,2.73376,1.17499,0.000506878,0.000506878,0.000506878
20,478.73,1.66674,1.43615,1.13462,0.04041,0.75526,0.43711,0.23158,1.74402,2.79114,1.2154,0.000527841,0.000527841,0.000527841
21,511.788,1.47101,1.42307,1.11317,0.03658,0.71579,0.42392,0.21806,1.83135,2.83013,1.24421,0.000548143,0.000548143,0.000548143
22,543.701,1.40769,1.29746,1.08313,0.03452,0.60263,0.40256,0.20601,1.80503,2.82189,1.23908,0.000567785,0.000567785,0.000567785
23,575.376,1.52134,1.37589,1.09737,0.62571,0.41294,0.44796,0.22715,1.68492,2.76207,1.20389,0.000586767,0.000586767,0.000586767
24,594.447,1.46582,1.3233,1.09611,0.63932,0.27176,0.44149,0.22144,1.65087,2.72461,1.17042,0.000605089,0.000605089,0.000605089
25,609.334,1.52797,1.3102,1.09706,0.04276,0.68816,0.43716,0.22233,1.66795,2.70607,1.20422,0.000622751,0.000622751,0.000622751
26,624.105,1.40905,1.28509,1.06041,0.69797,0.3513,0.47671,0.2413,1.6673,2.61403,1.20451,0.000639753,0.000639753,0.000639753
27,639.739,1.46574,1.37252,1.11239,0.96748,0.11184,0.52032,0.26255,1.65302,2.50112,1.18625,0.000656095,0.000656095,0.000656095
28,654.704,1.55095,1.24671,1.09063,0.96748,0.11184,0.52032,0.26255,1.65302,2.50112,1.18625,0.000671776,0.000671776,0.000671776
29,669.568,1.36692,1.19487,1.03894,0.89922,0.13035,0.63389,0.30444,1.56925,2.27055,1.13674,0.000686797,0.000686797,0.000686797
30,684.853,1.48627,1.26733,1.05853,0.87592,0.21053,0.65232,0.33766,1.60783,2.08149,1.12843,0.000701159,0.000701159,0.000701159
31,701.11,1.5207,1.24489,1.05411,0.87592,0.21053,0.65232,0.33766,1.60783,2.08149,1.12843,0.00071486,0.00071486,0.00071486
32,716.09,1.38057,1.19151,1.05045,0.91713,0.43479,0.70816,0.38539,1.52347,1.97285,1.11691,0.000727901,0.000727901,0.000727901
33,731.298,1.52632,1.23462,1.05879,0.93979,0.47607,0.70549,0.40323,1.46622,1.9658,1.10091,0.000740281,0.000740281,0.000740281
34,746.021,1.41922,1.27286,1.07119,0.93979,0.47607,0.70549,0.40323,1.46622,1.9658,1.10091,0.000752002,0.000752002,0.000752002
35,761.484,1.41497,1.1816,1.06347,0.88831,0.55,0.68866,0.41046,1.46799,2.07663,1.12147,0.000763063,0.000763063,0.000763063
36,775.789,1.28973,1.22592,1.03447,0.89559,0.52586,0.68837,0.40646,1.45645,2.13415,1.11814,0.000773463,0.000773463,0.000773463
37,791.151,1.46829,1.2125,1.0634,0.89559,0.52586,0.68837,0.40646,1.45645,2.13415,1.11814,0.000783203,0.000783203,0.000783203
38,806.63,1.42499,1.24114,1.052,0.84331,0.53137,0.68239,0.41809,1.47268,1.99011,1.1141,0.000792283,0.000792283,0.000792283
39,822.039,1.33024,1.18742,1.04351,0.83291,0.58289,0.68461,0.44538,1.51301,1.82348,1.12835,0.000800703,0.000800703,0.000800703
40,836.995,1.36212,1.20872,1.05519,0.83291,0.58289,0.68461,0.44538,1.51301,1.82348,1.12835,0.000808463,0.000808463,0.000808463
41,852.433,1.39477,1.17266,1.05018,0.86614,0.62308,0.70729,0.4725,1.44019,1.69452,1.10924,0.000815563,0.000815563,0.000815563
42,868.052,1.3897,1.16381,1.04355,0.83602,0.58988,0.6828,0.46435,1.4918,1.7452,1.11036,0.000822003,0.000822003,0.000822003
43,883.381,1.33369,1.11151,1.03806,0.83602,0.58988,0.6828,0.46435,1.4918,1.7452,1.11036,0.000827782,0.000827782,0.000827782
44,898.718,1.32222,1.10779,1.04257,0.79331,0.58947,0.66965,0.44774,1.56175,1.76387,1.11534,0.000832902,0.000832902,0.000832902
45,914.392,1.50168,1.20149,1.06054,0.79331,0.58947,0.66965,0.44774,1.56175,1.76387,1.11534,0.000837361,0.000837361,0.000837361
46,929.196,1.43425,1.1668,1.05095,0.7642,0.62237,0.68471,0.42477,1.54244,1.70136,1.09204,0.00084116,0.00084116,0.00084116
47,943.699,1.3139,1.14315,1.01474,0.7642,0.62237,0.68471,0.42477,1.54244,1.70136,1.09204,0.000844299,0.000844299,0.000844299
48,959.187,1.38793,1.15684,1.03725,0.76056,0.59474,0.67163,0.42836,1.4872,1.72565,1.09249,0.000846778,0.000846778,0.000846778
49,974.218,1.26058,1.05311,1.02047,0.76056,0.59474,0.67163,0.42836,1.4872,1.72565,1.09249,0.000848596,0.000848596,0.000848596
50,989.645,1.30879,1.08153,1.03509,0.72312,0.56974,0.62631,0.40878,1.4986,1.81646,1.14295,0.000849755,0.000849755,0.000849755
51,1016.2,1.42036,1.08581,1.0195,0.72312,0.56974,0.62631,0.40878,1.4986,1.81646,1.14295,0.000841835,0.000841835,0.000841835
52,1049.47,1.41676,1.09568,1.02157,0.65553,0.60263,0.59548,0.37658,1.53409,1.78143,1.15473,0.000825332,0.000825332,0.000825332
53,1081.7,1.31823,1.05299,1.01125,0.65553,0.60263,0.59548,0.37658,1.53409,1.78143,1.15473,0.000808828,0.000808828,0.000808828
54,1114.35,1.35833,1.13717,1.02154,0.6971,0.61721,0.67331,0.38179,1.59927,1.59722,1.12473,0.000792325,0.000792325,0.000792325
55,1147.78,1.33531,1.06954,1.01991,0.6971,0.61721,0.67331,0.38179,1.59927,1.59722,1.12473,0.000775822,0.000775822,0.000775822
56,1181.2,1.30922,1.04879,1.01286,0.75023,0.66842,0.74947,0.43741,1.58003,1.41138,1.08373,0.000759318,0.000759318,0.000759318
57,1213.87,1.34548,1.0546,1.00802,0.75023,0.66842,0.74947,0.43741,1.58003,1.41138,1.08373,0.000742815,0.000742815,0.000742815
58,1246.88,1.32485,1.08066,1.02514,0.74385,0.69762,0.77962,0.49279,1.50351,1.31894,1.07213,0.000726312,0.000726312,0.000726312
59,1279.33,1.2634,1.05358,1.00554,0.74385,0.69762,0.77962,0.49279,1.50351,1.31894,1.07213,0.000709809,0.000709809,0.000709809
60,1313.25,1.32773,1.03978,1.00689,0.70281,0.70638,0.73826,0.47934,1.48968,1.2569,1.07745,0.000693305,0.000693305,0.000693305
